Classifier,N_Genes,Accuracy,Precision,Recall,F1,AUC,CV_Score
SVM,256,0.9357798165137615,0.989010989010989,0.9375,0.9625668449197861,0.9647435897435898,0.9403436426116839
KNN,256,0.9357798165137615,0.978494623655914,0.9479166666666666,0.9629629629629629,0.9407051282051282,0.9382765001321702
Naive Bayes,256,0.9174311926605505,1.0,0.90625,0.9508196721311475,0.983974358974359,0.9239333862014275
Decision Tree,256,0.8899082568807339,0.9666666666666667,0.90625,0.9354838709677419,0.8741987179487178,0.9177795400475814
SVM,512,0.944954128440367,0.9891304347826086,0.9479166666666666,0.9680851063829787,0.9663461538461539,0.9372561459159398
KNN,512,0.944954128440367,0.9891304347826086,0.9479166666666666,0.9680851063829787,0.9667467948717949,0.9393074279672218
Naive Bayes,512,0.908256880733945,1.0,0.8958333333333334,0.945054945054945,0.9779647435897436,0.9270155960877611
Decision Tree,512,0.8899082568807339,0.9772727272727273,0.8958333333333334,0.9347826086956522,0.7904647435897435,0.9064234734337827
SVM,1024,0.944954128440367,0.9891304347826086,0.9479166666666666,0.9680851063829787,0.9711538461538461,0.9413692836373249
KNN,1024,0.9541284403669725,0.989247311827957,0.9583333333333334,0.9735449735449735,0.9475160256410258,0.9382817869415808
Naive Bayes,1024,0.908256880733945,1.0,0.8958333333333334,0.945054945054945,0.9711538461538461,0.9290721649484537
Decision Tree,1024,0.926605504587156,0.9782608695652174,0.9375,0.9574468085106383,0.9611378205128207,0.911593973037272
